Rank,Name,Occupation,Genre,Age,Availability,Location,Rating
420,Oby Neill,Business Systems Development Analyst,Medical,19,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,7.2
421,Joan Gonthier,Social Worker,"Child Care,Medical,Computer",51,"Sunday,Monday,Tuesday,Thursday",Downtown,6.8
422,Crista Fullbrook,Human Resources Assistant I,Medical,25,"Wednesday,Friday",Barhaven,5.7
423,Maxy Regglar,Account Coordinator,"Child Care,Driving,Spiritual",37,"Sunday,Monday,Wednesday,Friday,Saturday",Centretown,5.8
424,Christin Murdy,Electrical Engineer,"Child Care,Medical,Tutoring",37,"Monday,Tuesday,Wednesday",Carp,6.2
425,Kira Bausmann,Staff Scientist,"Child Care,Maternal,Medical",59,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Southkeys,5.9
426,Arthur Coulston,Health Coach III,"Medical,Tutoring,Spiritual",26,"Monday,Tuesday,Thursday,Friday",Sandy Hill,7.8
427,Eulalie Bavester,Analyst Programmer,"Child Care,Maternal,Computer",64,"Tuesday,Wednesday",Barhaven,6.5
428,Daphne Peddowe,Research Assistant II,"Child Care,Cleaning,Computer",60,"Friday,Saturday",Carleton Place,8.1
429,Whitaker Imason,Tax Accountant,"Driving,Cleaning,Computer",64,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,5.2
430,Torrie Hubbucks,Sales Associate,"Child Care,Driving,Mental Health",51,"Sunday,Wednesday,Thursday,Friday,Saturday",Kemptvile,6
431,Jocelyne Elkin,Assistant Manager,"Overnight,Medical",28,"Monday,Thursday",Kanata,8.4
432,Galen Maneylaws,Food Chemist,Overnight,47,"Sunday,Wednesday,Friday,Saturday",Sandy Hill,4.7
433,Yankee Upcraft,Biostatistician II,"Child Care,Seniors,Driving",46,Wednesday,Kemptvile,7
434,Brynn Lawland,Budget/Accounting Analyst III,"Child Care,Seniors,Computer",46,"Sunday,Monday,Thursday,Saturday",Downtown,7.4
435,Jacquenetta Sainsbury-Brown,Help Desk Operator,"Child Care,Maternal,Medical",61,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Southkeys,6.4
436,Harman Fautley,Food Chemist,"Overnight,Maternal,Medical",25,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Kanata,7.1
437,Jessy Scamal,Compensation Analyst,"Medical,Spiritual",39,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,7.1
438,Carolin McArdle,Nuclear Power Engineer,"Medical,Computer",25,"Monday,Thursday,Friday,Saturday",Rockland,7.6
439,Marten Corless,Structural Analysis Engineer,"Child Care,Overnight,Maternal",23,"Tuesday,Thursday,Friday",Rockland,6.6
440,Art Winscomb,Data Coordiator,Overnight,39,"Monday,Friday",Rockland,5.6
441,Herman Blaylock,Food Chemist,"Seniors,Therapy,Tutoring",60,"Sunday,Monday,Tuesday,Thursday,Saturday",Rockland,6.3
442,Monique Iacofo,Director of Sales,"Medical,Spiritual",39,"Thursday,Friday",Kanata,7.5
443,Dodie Stansfield,Research Assistant III,"Disability,Therapy,Tutoring",35,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,7.7
444,Molli Barradell,Technical Writer,"Medical,Spiritual",51,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,7.4
445,Amandi Facer,Chemical Engineer,Computer,43,Tuesday,Rockland,6
446,Frankie Buckner,Marketing Manager,"Seniors,Driving,Cleaning",48,"Wednesday,Thursday",Centretown,6.6
447,Ulrich Billingham,Sales Associate,"Child Care,Mental Health",48,"Wednesday,Thursday,Saturday",Kanata,7.1
448,Julee Late,Senior Quality Engineer,"Seniors,Overnight,Medical",62,"Sunday,Wednesday,Thursday,Saturday",Glebe,7.9
449,Katherina Popov,Information Systems Manager,"Disability,Child Care,Seniors",31,"Friday,Saturday",Southkeys,7.8
450,Waylin Gallemore,Recruiter,"Medical,Driving",63,"Sunday,Thursday",Sandy Hill,5.9
451,Camella Coltan,Health Coach II,"Child Care,Seniors,Mental Health",19,"Sunday,Monday,Saturday",Orleans,7
452,Curt Oret,Marketing Assistant,"Overnight,Medical",27,"Sunday,Monday,Tuesday,Friday,Saturday",Nepean,7
453,Zach Keedy,Cost Accountant,"Child Care,Driving,Cleaning",44,"Sunday,Wednesday,Friday",Kanata,6.8
454,Lloyd Crucitti,Actuary,"Child Care,Computer",48,Saturday,Barhaven,6.5
455,Doris Struther,Analyst Programmer,"Child Care,Seniors,Mental Health",51,"Wednesday,Thursday,Saturday",Sandy Hill,6.1
456,Massimiliano Dumbreck,General Manager,Medical,18,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,8.3
457,Erhart Nehl,Information Systems Manager,"Overnight,Medical,Spiritual",56,"Sunday,Tuesday,Wednesday,Thursday",Glebe,6.7
458,Fredek Scurman,Account Coordinator,"Overnight,Maternal",25,"Tuesday,Wednesday",Barhaven,6
459,Reade Golbourn,Analyst Programmer,"Overnight,Spiritual",19,"Sunday,Monday",Carleton Place,6.4
460,Steve Millimoe,Data Coordiator,"Medical,Spiritual",38,"Sunday,Wednesday,Friday,Saturday",Carleton Place,7.3
461,Lisetta Cahalin,Tax Accountant,"Maternal,Medical,Computer",20,Sunday,Carleton Place,7.6
462,Odilia Ortet,Chief Design Engineer,"Driving,Cleaning,Computer",41,"Wednesday,Thursday,Friday,Saturday",Kanata,6
463,Annnora Pershouse,Project Manager,"Cooking,Medical",57,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kanata,6.6
464,Vaughan Hanna,Compensation Analyst,"Medical,Cleaning,Mental Health",35,"Monday,Tuesday,Thursday,Friday",Centretown,7.5
465,Godard Mousby,Actuary,"Seniors,Overnight,Therapy",25,Saturday,Centretown,6.3
466,Bertie Guillet,Financial Analyst,"Child Care,Seniors,Maternal",59,"Sunday,Thursday,Friday,Saturday",Barhaven,7.5
467,Jakob Pittam,Occupational Therapist,"Child Care,Maternal,Cleaning",21,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Kemptvile,6.4
468,Fayth Brooksby,Design Engineer,"Cleaning,Computer",34,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Kemptvile,6.9
469,Tim Hansod,Payment Adjustment Coordinator,"Child Care,Mental Health,Computer",61,"Sunday,Monday,Tuesday,Friday,Saturday",Glebe,8
470,Bren Bearsmore,Safety Technician IV,"Child Care,Overnight,Maternal",34,Saturday,Glebe,6.7
471,Elicia Kinchington,Web Designer II,"Cooking,Maternal,Medical",34,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Southkeys,7.8
472,Flora Risely,Librarian,"Cooking,Medical,Shopping",56,"Sunday,Tuesday,Wednesday,Thursday",Kemptvile,6.4
473,Cortie Middle,VP Accounting,"Child Care,Seniors,Mental Health",24,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Glebe,5.8
474,Maure MacAskie,Compensation Analyst,"Seniors,Therapy,Tutoring",47,"Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,7.5
475,Forrest Farlowe,Programmer Analyst I,"Cooking,Medical,Shopping",37,"Tuesday,Friday",Barhaven,7.7
476,Gilberte Binch,Account Executive,"Cooking,Overnight,Medical",21,"Monday,Wednesday,Thursday,Saturday",Nepean,7.4
477,Isa Edinburough,Account Representative IV,"Medical,Computer",51,Friday,Carleton Place,8.5
478,Lyell Ridgewell,Engineer IV,"Driving,Computer",54,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,5.7
479,Marline Trenoweth,Tax Accountant,Medical,48,"Sunday,Thursday,Saturday",Southkeys,8.3
480,Dotti Grew,Analyst Programmer,"Medical,Home Maintenence",48,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Nepean,6.7
481,Harriette Coalbran,Physical Therapy Assistant,"Overnight,Medical,Spiritual",38,"Sunday,Tuesday,Saturday",Kanata,7.2
482,Stephannie Farrent,Geological Engineer,"Medical,Spiritual,Mental Health",19,Saturday,Carleton Place,6.5
483,Felicia Cuttell,Safety Technician I,"Child Care,Maternal,Medical",48,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Southkeys,6.3
484,Lusa Howroyd,Analyst Programmer,"Overnight,Medical",24,"Monday,Tuesday,Thursday,Friday,Saturday",Rockland,7.7
485,Osbourn Gres,Account Executive,"Disability,Child Care,Seniors",35,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Sandy Hill,6.3
486,Gerek Beever,Financial Analyst,"Seniors,Overnight,Medical",24,Friday,Carp,7.8
487,Ernesta Meeson,Quality Control Specialist,"Overnight,Medical,Therapy",19,"Friday,Saturday",Kemptvile,6.7
488,Weider Tranmer,Occupational Therapist,"Medical,Spiritual,Computer",45,"Sunday,Monday,Wednesday,Thursday",Sandy Hill,6.7
489,Karena Yole,Professor,"Overnight,Maternal,Medical",32,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Kanata,6.6
490,Angelique Oldham,Web Developer I,"Disability,Overnight,Therapy",63,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Kanata,8
491,Trefor Boggers,Information Systems Manager,"Medical,Driving,Mental Health",64,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Kemptvile,6.5
492,Gerald Wyllcocks,Software Consultant,"Child Care,Seniors,Medical",45,"Sunday,Tuesday",Kemptvile,6.9
493,Traver Haps,Desktop Support Technician,"Child Care,Driving,Mental Health",20,Wednesday,Barhaven,7
494,Guthrie Domsalla,Engineer IV,"Child Care,Maternal,Hospice",53,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Centretown,5.3
495,Gerardo Delmage,Registered Nurse,"Medical,Driving,Mental Health",49,"Sunday,Tuesday,Wednesday",Carp,6.3
496,Seline Garlicke,Food Chemist,"Medical,Driving,Mental Health",51,"Sunday,Tuesday,Thursday",Southkeys,7.2
497,Allys Jendrusch,Computer Systems Analyst IV,"Child Care,Seniors,Overnight",29,Monday,Carp,6.8
498,Randi Olenikov,VP Marketing,"Cleaning,Mental Health,Computer",35,"Tuesday,Thursday",Centretown,7.1
499,Wendi Penwright,Product Engineer,"Maternal,Medical,Computer",46,"Tuesday,Thursday,Friday",Rockland,7.4
500,Lyndsay Lackinton,General Manager,"Disability,Seniors,Overnight",21,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Sandy Hill,8.3
501,Juieta Capnor,Health Coach II,"Child Care,Mental Health,Computer",51,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,6.3
502,Ermin Morphew,VP Sales,"Medical,Spiritual",22,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Kemptvile,7.2
503,Maribelle Rustan,Executive Secretary,"Maternal,Medical,Computer",26,"Monday,Tuesday,Thursday,Friday",Sandy Hill,6.5
504,Shaun Reese,Chemical Engineer,"Overnight,Medical,Counselling",59,"Friday,Saturday",Carleton Place,7.3
505,Mae Sephton,Professor,"Medical,Tutoring,Spiritual",19,"Thursday,Saturday",Sandy Hill,7.9
506,Patrice Balazin,Automation Specialist III,"Maternal,Medical,Computer",20,Saturday,Sandy Hill,5.7
507,Julina Paine,Research Assistant I,"Maternal,Medical,Computer",61,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Kanata,6.5
508,Yelena Beal,VP Quality Control,"Overnight,Medical,Spiritual",27,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,7.7
509,Emmalynne Huggard,Research Assistant II,"Overnight,Spiritual",63,"Friday,Saturday",Orleans,4.3
510,Kendrick Harker,Administrative Officer,"Medical,Mental Health,Computer",47,"Sunday,Monday,Wednesday,Friday,Saturday",Sandy Hill,7.8
511,Cherri Casper,Environmental Specialist,"Medical,Home Maintenence",22,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,7.8
512,Ruttger Scotchmoor,Media Manager II,"Child Care,Maternal,Medical",26,"Tuesday,Friday",Kanata,7.2
513,Klement Firks,Account Representative III,"Mental Health,Computer",62,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Glebe,5
514,Arvie Titterton,Electrical Engineer,"Seniors,Medical,Driving",32,Wednesday,Orleans,7.1
515,Sinclair Weatherby,Legal Assistant,"Overnight,Medical,Counselling",63,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Barhaven,5.7
516,Zsa zsa Stoite,Teacher,"Overnight,Medical,Spiritual",32,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,7.1
517,Bernardo Buckwell,Marketing Assistant,"Child Care,Seniors,Medical",52,"Sunday,Tuesday,Thursday,Friday,Saturday",Southkeys,6
518,Alida Wildsmith,Technical Writer,"Child Care,Maternal,Medical",47,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Kemptvile,6.9
519,Patrick Parysiak,Research Nurse,"Seniors,Tutoring",28,"Wednesday,Thursday,Saturday",Carleton Place,7.9
520,Marline Dorin,Financial Advisor,"Medical,Spiritual",20,Saturday,Southkeys,6.2
521,Abrahan Genney,Staff Scientist,"Cooking,Shopping,Computer",29,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Nepean,7.2
522,Hanson Braam,Web Designer II,"Maternal,Medical,Computer",19,"Sunday,Saturday",Carp,5.3
523,Ravi Eard,Quality Control Specialist,"Child Care,Medical,Shopping",54,"Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,4.7
524,Cornell Trustram,Internal Auditor,"Cooking,Overnight,Medical",57,"Sunday,Saturday",Downtown,6.6
525,Ingelbert Mewhirter,Mechanical Systems Engineer,"Maternal,Medical,Computer",18,"Sunday,Thursday,Saturday",Orleans,7
526,Dermot Brownsill,Senior Cost Accountant,"Child Care,Cooking,Medical",45,"Monday,Wednesday,Saturday",Centretown,3.9
527,Nady Ickowicz,Payment Adjustment Coordinator,"Child Care,Medical,Mental Health",58,Wednesday,Kanata,6.6
528,Denise Wildish,Financial Advisor,"Seniors,Driving",26,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,5.4
529,Sharleen Deas,Programmer II,"Child Care,Seniors,Mental Health",33,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,6.4
530,Penrod Hender,Food Chemist,"Child Care,Seniors,Cleaning",53,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Nepean,6.7
531,Penny Shafier,Systems Administrator I,"Overnight,Medical,Spiritual",41,"Wednesday,Friday",Nepean,6.9
532,Nonie Varndell,Systems Administrator III,"Driving,Computer",63,"Sunday,Tuesday",Carp,5.4
533,Richard Piggott,Project Manager,"Child Care,Mental Health,Computer",59,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Nepean,7
534,Adi Lawerence,Nurse,"Child Care,Mental Health,Computer",28,"Monday,Tuesday,Wednesday,Friday",Barhaven,6.4
535,Howey Tight,Geological Engineer,"Cooking,Medical",64,"Tuesday,Friday",Downtown,7.2
536,Ezechiel Magor,Analog Circuit Design manager,"Child Care,Maternal,Medical",59,"Sunday,Monday,Wednesday,Friday,Saturday",Rockland,6.5
537,Charissa Frye,Librarian,"Child Care,Maternal,Cleaning",47,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,7
538,Evvie Adamowitz,Financial Advisor,"Child Care,Seniors,Overnight",47,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kanata,5.7
539,Tabbie Kemitt,Operator,"Maternal,Medical,Computer",22,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,7.3
540,Riva Mallan,Geological Engineer,"Maternal,Medical",56,"Sunday,Monday,Tuesday,Thursday",Sandy Hill,6.1
541,Emlynne Watton,Web Designer I,"Cleaning,Computer",24,Sunday,Nepean,7.2
542,Ode Van Halle,Geological Engineer,"Cleaning,Mental Health,Computer",22,"Monday,Tuesday,Wednesday,Thursday,Friday",Kanata,7.4
543,Trstram Andrioni,Financial Advisor,"Child Care,Cleaning,Mental Health",64,"Sunday,Monday,Tuesday,Thursday,Friday",Sandy Hill,6.3
544,Waite Prescot,Technical Writer,"Medical,Spiritual",24,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Glebe,7.1
545,Mathe Wilmott,Paralegal,"Medical,Computer",48,"Sunday,Tuesday,Saturday",Nepean,5.7
546,Debora Capell,Account Coordinator,"Medical,Cleaning,Mental Health",57,"Tuesday,Wednesday",Orleans,6.7
547,Rochette Bartoli,Recruiter,"Overnight,Medical",56,"Wednesday,Saturday",Barhaven,6.8
548,Clemente Ainsby,Administrative Officer,"Seniors,Therapy,Tutoring",20,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,6.5
549,Camala Yackiminie,Tax Accountant,"Cooking,Medical,Hospice",27,"Sunday,Tuesday,Wednesday,Friday,Saturday",Glebe,6.8
550,Cortie Costa,Web Designer III,Medical,45,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,7.9
551,Nicky Cuvley,Librarian,"Overnight,Medical,Spiritual",60,"Tuesday,Thursday",Centretown,5.8
552,Amy Sorrel,Web Developer IV,"Cooking,Medical,Spiritual",37,"Monday,Thursday,Friday,Saturday",Barhaven,7.1
553,Kaja Kitchingman,Physical Therapy Assistant,"Child Care,Seniors,Mental Health",51,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Nepean,4.3
554,Obed Torrans,Internal Auditor,"Medical,Mental Health,Computer",46,"Sunday,Wednesday,Thursday",Glebe,6.3
555,Flin Manzell,Software Consultant,"Medical,Spiritual,Computer",64,"Sunday,Monday,Thursday,Friday,Saturday",Sandy Hill,7.1
556,Di Holehouse,Developer II,"Cleaning,Computer",36,"Sunday,Wednesday,Saturday",Kanata,4.6
557,Dar Dysart,Senior Cost Accountant,"Cleaning,Computer",26,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Glebe,7.1
558,Clemens Longhurst,Account Coordinator,"Child Care,Medical,Tutoring",20,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Orleans,6.3
559,Guillema Pellamonuten,Information Systems Manager,"Child Care,Seniors,Cooking",36,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Kanata,6.9
560,Martie Lapslie,Assistant Professor,"Seniors,Overnight,Mental Health",22,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Rockland,6.6
561,Anne-corinne Goublier,VP Quality Control,"Child Care,Seniors,Computer",47,Tuesday,Downtown,6.5
562,Dyanna Dalliwatr,Systems Administrator IV,"Tutoring,Driving",51,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,6.5
563,Melania Slinn,Cost Accountant,"Driving,Cleaning",61,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Southkeys,6.8
564,Jodie Deverall,Sales Representative,"Disability,Seniors,Overnight",31,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,7.8
565,Harvey Dedham,General Manager,"Child Care,Seniors,Medical",48,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,6.1
566,Sterling Madner,Research Nurse,"Seniors,Therapy,Tutoring",18,"Monday,Tuesday,Wednesday,Thursday,Friday",Carp,5.8
567,Jacki Kid,Clinical Specialist,"Child Care,Seniors,Mental Health",54,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,6.3
568,Lance Troak,Payment Adjustment Coordinator,"Overnight,Medical",38,"Monday,Tuesday",Rockland,7.5
569,Roselin Fairlamb,Geologist III,"Overnight,Medical",20,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,6.1
570,Esme Lepope,Environmental Specialist,"Maternal,Medical,Computer",56,"Sunday,Tuesday,Wednesday,Friday,Saturday",Carleton Place,6.5
571,Omero Chicco,Compensation Analyst,"Overnight,Spiritual",31,"Wednesday,Thursday",Orleans,6
572,Gerri Hendonson,Social Worker,"Disability,Overnight,Therapy",54,"Tuesday,Saturday",Kemptvile,7.1
573,Krisha Hanratty,Technical Writer,"Overnight,Medical",50,"Sunday,Friday",Orleans,7.1
574,Norry Escale,Software Engineer IV,"Overnight,Medical",43,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,7.8
575,Marcie Battey,Developer IV,"Cooking,Medical,Hospice",25,"Monday,Tuesday,Wednesday,Thursday,Saturday",Centretown,6.8
576,Thaddeus Itzkovwitch,Programmer III,"Child Care,Seniors,Tutoring",37,"Sunday,Wednesday,Thursday,Friday,Saturday",Sandy Hill,5.8
577,Obie Downton,Biostatistician II,"Child Care,Medical,Shopping",64,"Sunday,Wednesday,Thursday,Saturday",Nepean,6.8
578,Efren Menure,Geologist III,"Child Care,Seniors,Mental Health",32,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,6.8
579,Hugo Wrack,Compensation Analyst,"Child Care,Seniors,Cleaning",57,"Sunday,Saturday",Rockland,7.6
580,Kipper Castard,Editor,"Maternal,Medical,Cleaning",41,"Sunday,Monday,Tuesday,Friday,Saturday",Southkeys,6.3
581,Bing Castillon,Research Nurse,Child Care,61,Friday,Downtown,4.9
582,Sabine Blevin,Social Worker,"Child Care,Seniors,Therapy",32,"Sunday,Monday,Tuesday,Thursday",Centretown,4.2
583,Georgeanne Fehner,Operator,"Overnight,Spiritual",23,"Monday,Wednesday,Friday,Saturday",Kanata,5.1
584,Yank House,Librarian,"Overnight,Medical,Spiritual",60,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,5.7
585,Damiano Braunfeld,Payment Adjustment Coordinator,"Cooking,Medical,Hospice",42,"Sunday,Monday,Tuesday,Friday,Saturday",Carleton Place,7.6
586,Elton Jodlkowski,Mechanical Systems Engineer,"Child Care,Tutoring,Computer",37,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Downtown,5.2
587,Gilburt Scardifield,Programmer I,"Cooking,Medical,Hospice",30,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Southkeys,7.2
588,Stepha Sivewright,Accounting Assistant IV,"Child Care,Medical,Tutoring",61,"Sunday,Monday,Wednesday",Downtown,6
589,Tabbi Tomczykiewicz,Senior Developer,"Seniors,Mental Health,Computer",52,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,7.3
590,Berget Aliberti,VP Product Management,"Disability,Seniors,Overnight",29,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,7.2
591,Selma Dahle,Senior Sales Associate,"Medical,Cleaning,Computer",45,"Sunday,Wednesday",Kanata,7.8
592,Philis Holtom,VP Product Management,"Medical,Spiritual",53,Tuesday,Carleton Place,6.2
593,Kristofor Gibbons,Senior Developer,"Maternal,Medical,Cleaning",44,"Sunday,Tuesday,Wednesday,Thursday",Glebe,7.1
594,Kienan Colls,General Manager,"Overnight,Spiritual,Hospice",49,"Sunday,Wednesday,Thursday",Carp,6.4
595,Anestassia Potte,Senior Editor,"Overnight,Therapy",20,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,6.1
596,Nobe Lusty,Senior Quality Engineer,"Medical,Driving,Cleaning",54,"Tuesday,Wednesday,Saturday",Nepean,7.2
597,Ezechiel Almeida,Administrative Assistant I,"Child Care,Medical,Hospice",62,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,6.6
598,Blair Castanos,Geological Engineer,"Child Care,Seniors,Overnight",27,"Monday,Tuesday,Thursday,Friday,Saturday",Southkeys,6.2
599,Melesa Crouch,Food Chemist,"Medical,Cleaning,Mental Health",49,Friday,Kanata,7.9
600,Lizabeth Paulot,Assistant Manager,"Disability,Child Care,Overnight",56,Saturday,Orleans,7.3
601,Michaella Fairbridge,Nurse Practicioner,"Child Care,Maternal,Medical",19,"Sunday,Tuesday,Wednesday,Thursday",Glebe,6.7
602,Ardelia Ebben,Product Engineer,"Child Care,Maternal,Medical",22,"Monday,Wednesday,Saturday",Carp,6.4
603,Odey Abbys,Developer I,"Overnight,Medical,Spiritual",51,"Sunday,Thursday,Friday,Saturday",Carp,6.4
604,Gayelord Niland,VP Product Management,"Disability,Child Care,Seniors",49,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kanata,7.2
605,Kile Sheather,Legal Assistant,"Maternal,Medical",63,"Sunday,Monday,Wednesday,Friday",Southkeys,5.1
606,Olga Kaubisch,Biostatistician IV,Medical,55,"Monday,Saturday",Southkeys,7.4
607,Genny Widdecombe,Media Manager IV,Medical,60,"Sunday,Friday",Carleton Place,7.2
608,Lorens Petty,Chemical Engineer,"Overnight,Maternal",26,Wednesday,Glebe,6.9
609,Carmelita Note,GIS Technical Architect,Medical,62,"Sunday,Monday,Tuesday,Thursday,Saturday",Downtown,8.1
610,Bobine Ayre,Programmer II,"Child Care,Seniors,Tutoring",37,"Sunday,Wednesday,Thursday",Southkeys,7
611,Miof mela Wicks,Marketing Assistant,"Medical,Tutoring,Spiritual",61,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,6.2
612,Jude Muris,Help Desk Operator,"Overnight,Medical",65,"Sunday,Monday,Wednesday,Thursday,Friday",Downtown,7.6
613,Teena Hendrichs,VP Marketing,"Medical,Tutoring,Computer",30,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Centretown,6.7
614,Ward Brimmicombe,Physical Therapy Assistant,"Cooking,Maternal,Medical",61,"Monday,Wednesday,Thursday,Friday,Saturday",Centretown,7.5
615,Kincaid Norrey,Physical Therapy Assistant,"Overnight,Medical,Spiritual",33,Monday,Orleans,6.6
616,Davin Jedrzejczak,Programmer Analyst II,"Child Care,Maternal,Medical",35,"Thursday,Friday,Saturday",Southkeys,6.3
617,Ellwood Sampey,Assistant Media Planner,Mental Health,33,"Sunday,Tuesday,Friday,Saturday",Downtown,4
618,Archer Neeson,Environmental Tech,"Child Care,Cooking,Medical",27,Saturday,Glebe,6.9
619,Diego Glaum,Product Engineer,"Child Care,Overnight,Spiritual",27,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,6.3
620,Jillie Gouldstone,General Manager,"Seniors,Overnight,Medical",23,"Monday,Thursday",Downtown,7.3
621,Sheelah Skalls,Staff Accountant I,"Overnight,Maternal,Medical",44,"Tuesday,Thursday",Glebe,7.3
622,Catarina Kamiyama,Administrative Assistant I,"Child Care,Tutoring,Driving",60,Saturday,Rockland,6.4
623,Goober Faireclough,Nurse Practicioner,"Medical,Driving",58,"Monday,Tuesday,Thursday,Friday,Saturday",Orleans,6.6
624,Ozzy Baxstar,Nurse,Driving,39,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Downtown,5.6
625,Cosme Demangeon,Human Resources Assistant IV,"Child Care,Computer",64,"Sunday,Tuesday,Wednesday,Friday,Saturday",Sandy Hill,6
626,Jannel Manz,Director of Sales,"Child Care,Seniors,Cleaning",61,"Thursday,Friday,Saturday",Southkeys,6.3
627,Avigdor Stoving,VP Product Management,"Child Care,Seniors,Tutoring",57,"Sunday,Tuesday,Thursday,Friday,Saturday",Barhaven,6.7
628,Dudley Garside,Structural Analysis Engineer,"Overnight,Medical,Spiritual",32,"Sunday,Wednesday,Saturday",Downtown,6
629,Cornell MacSporran,Research Associate,"Maternal,Medical,Cleaning",20,"Sunday,Tuesday,Wednesday,Saturday",Rockland,6.1
630,Savina Doick,Structural Analysis Engineer,"Seniors,Overnight,Therapy",27,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Nepean,6.2
